Angle(deg),BER_Bound_Exact_Integral
8.94,2.58515491e-04
8.95,2.58359444e-04
8.96,2.58207294e-04
8.97,2.58058979e-04
8.98,2.57914429e-04
8.99,2.57773568e-04
9.00,2.57636313e-04
9.01,2.57502574e-04
9.02,2.57372256e-04
9.03,2.57245254e-04
9.04,2.57121455e-04
9.05,2.57000740e-04
9.06,2.56882981e-04
9.07,2.56768040e-04
9.08,2.56655771e-04
9.09,2.56546019e-04
9.10,2.56438617e-04
9.11,2.56333391e-04
9.12,2.56230156e-04
9.13,2.56128715e-04
9.14,2.56028862e-04
9.15,2.55930378e-04
9.16,2.55833037e-04
9.17,2.55736596e-04
9.18,2.55640805e-04
9.19,2.55545399e-04
9.20,2.55450105e-04
9.21,2.55354634e-04
9.22,2.55258688e-04
9.23,2.55161956e-04
9.24,2.55064115e-04
9.25,2.54964830e-04
9.26,2.54863754e-04
9.27,2.54760530e-04
9.28,2.54654787e-04
9.29,2.54546145e-04
9.30,2.54434212e-04
9.31,2.54318586e-04
9.32,2.54198852e-04
9.33,2.54074589e-04
9.34,2.53945364e-04
9.35,2.53810736e-04
9.36,2.53670254e-04
9.37,2.53523462e-04
9.38,2.53369894e-04
9.39,2.53209078e-04
9.40,2.53040536e-04
9.41,2.52863784e-04
9.42,2.52678335e-04
9.43,2.52483693e-04
9.44,2.52279362e-04
9.45,2.52064859e-04
9.46,2.51839705e-04
9.47,2.51603413e-04
9.48,2.51356227e-04
9.49,2.51098681e-04
9.50,2.50831263e-04
9.51,2.50554482e-04
9.52,2.50268851e-04
9.53,2.49974878e-04
9.54,2.49673064e-04
9.55,2.49363906e-04
9.56,2.49047896e-04
9.57,2.48725517e-04
9.58,2.48397248e-04
9.59,2.48063558e-04
9.60,2.47724910e-04
9.61,2.47381755e-04
9.62,2.47034538e-04
9.63,2.46683694e-04
9.64,2.46329645e-04
9.65,2.45972806e-04
9.66,2.45613580e-04
9.67,2.45252358e-04
9.68,2.44889520e-04
9.69,2.44525436e-04
9.70,2.44160463e-04
9.71,2.43794946e-04
9.72,2.43429219e-04
9.73,2.43063604e-04
9.74,2.42698411e-04
9.75,2.42333939e-04
9.76,2.41970472e-04
9.77,2.41608287e-04
9.78,2.41247647e-04
9.79,2.40888804e-04
9.80,2.40531998e-04
9.81,2.40177459e-04
9.82,2.39825408e-04
9.83,2.39476051e-04
9.84,2.39129589e-04
9.85,2.38786209e-04
9.86,2.38446091e-04
9.87,2.38109404e-04
9.88,2.37776309e-04
9.89,2.37446958e-04
9.90,2.37121494e-04
9.91,2.36800052e-04
9.92,2.36482761e-04
9.93,2.36169740e-04
9.94,2.35861102e-04
9.95,2.35556955e-04
9.96,2.35257398e-04
9.97,2.34962524e-04
9.98,2.34672421e-04
9.99,2.34387172e-04
10.00,2.34106853e-04
10.01,2.33831537e-04
10.02,2.33561291e-04
10.03,2.33296178e-04
10.04,2.33036256e-04
10.05,2.32781581e-04
10.06,2.32532203e-04
10.07,2.32288170e-04
10.08,2.32049527e-04
10.09,2.31816316e-04
10.10,2.31588574e-04
10.11,2.31366339e-04
10.12,2.31149643e-04
10.13,2.30938518e-04
10.14,2.30732994e-04
10.15,2.30533098e-04
10.16,2.30338856e-04
10.17,2.30150291e-04
10.18,2.29967427e-04
10.19,2.29790284e-04
10.20,2.29618883e-04
10.21,2.29453241e-04
10.22,2.29293377e-04
10.23,2.29139307e-04
10.24,2.28991047e-04
10.25,2.28848611e-04
10.26,2.28712014e-04
10.27,2.28581268e-04
10.28,2.28456386e-04
10.29,2.28337380e-04
10.30,2.28224260e-04
10.31,2.28117038e-04
10.32,2.28015723e-04
10.33,2.27920323e-04
10.34,2.27830848e-04
10.35,2.27747305e-04
10.36,2.27669702e-04
10.37,2.27598044e-04
10.38,2.27532337e-04
10.39,2.27472586e-04
10.40,2.27418795e-04
10.41,2.27370967e-04
10.42,2.27329104e-04
10.43,2.27293208e-04
10.44,2.27263277e-04
10.45,2.27239310e-04
10.46,2.27221306e-04
10.47,2.27209260e-04
10.48,2.27203166e-04
10.49,2.27203017e-04
