Angle(deg),BER_Bound_Eq70
6.09,5.44925493e-03
6.10,5.39684887e-03
6.11,5.34503448e-03
6.12,5.29380409e-03
6.13,5.24315017e-03
6.14,5.19306529e-03
6.15,5.14354212e-03
6.16,5.09457345e-03
6.17,5.04615218e-03
6.18,4.99827127e-03
6.19,4.95092384e-03
6.20,4.90410307e-03
6.21,4.85780225e-03
6.22,4.81201477e-03
6.23,4.76673409e-03
6.24,4.72195381e-03
6.25,4.67766758e-03
6.26,4.63386915e-03
6.27,4.59055238e-03
6.28,4.54771119e-03
6.29,4.50533960e-03
6.30,4.46343171e-03
6.31,4.42198171e-03
6.32,4.38098387e-03
6.33,4.34043253e-03
6.34,4.30032212e-03
6.35,4.26064716e-03
6.36,4.22140221e-03
6.37,4.18258195e-03
6.38,4.14418110e-03
6.39,4.10619448e-03
6.40,4.06861696e-03
6.41,4.03144349e-03
6.42,3.99466910e-03
6.43,3.95828887e-03
6.44,3.92229797e-03
6.45,3.88669162e-03
6.46,3.85146510e-03
6.47,3.81661379e-03
6.48,3.78213309e-03
6.49,3.74801849e-03
6.50,3.71426553e-03
6.51,3.68086983e-03
6.52,3.64782704e-03
6.53,3.61513290e-03
6.54,3.58278318e-03
6.55,3.55077373e-03
6.56,3.51910044e-03
6.57,3.48775927e-03
6.58,3.45674623e-03
6.59,3.42605737e-03
6.60,3.39568882e-03
6.61,3.36563675e-03
6.62,3.33589736e-03
6.63,3.30646694e-03
6.64,3.27734180e-03
6.65,3.24851831e-03
6.66,3.21999289e-03
6.67,3.19176201e-03
6.68,3.16382217e-03
6.69,3.13616995e-03
6.70,3.10880195e-03
6.71,3.08171481e-03
6.72,3.05490523e-03
6.73,3.02836996e-03
6.74,3.00210577e-03
6.75,2.97610949e-03
6.76,2.95037798e-03
6.77,2.92490815e-03
6.78,2.89969696e-03
6.79,2.87474139e-03
6.80,2.85003847e-03
6.81,2.82558526e-03
6.82,2.80137887e-03
6.83,2.77741645e-03
6.84,2.75369518e-03
6.85,2.73021226e-03
6.86,2.70696496e-03
6.87,2.68395057e-03
6.88,2.66116640e-03
6.89,2.63860982e-03
6.90,2.61627823e-03
6.91,2.59416904e-03
6.92,2.57227971e-03
6.93,2.55060775e-03
6.94,2.52915066e-03
6.95,2.50790602e-03
6.96,2.48687141e-03
6.97,2.46604444e-03
6.98,2.44542277e-03
6.99,2.42500407e-03
7.00,2.40478606e-03
7.01,2.38476646e-03
7.02,2.36494305e-03
7.03,2.34531363e-03
7.04,2.32587600e-03
7.05,2.30662804e-03
7.06,2.28756760e-03
7.07,2.26869260e-03
7.08,2.25000096e-03
7.09,2.23149065e-03
7.10,2.21315964e-03
7.11,2.19500595e-03
7.12,2.17702760e-03
7.13,2.15922265e-03
7.14,2.14158918e-03
7.15,2.12412531e-03
7.16,2.10682915e-03
7.17,2.08969886e-03
7.18,2.07273261e-03
7.19,2.05592860e-03
7.20,2.03928506e-03
7.21,2.02280022e-03
7.22,2.00647235e-03
7.23,1.99029972e-03
7.24,1.97428066e-03
7.25,1.95841348e-03
7.26,1.94269654e-03
7.27,1.92712820e-03
7.28,1.91170684e-03
7.29,1.89643088e-03
7.30,1.88129875e-03
7.31,1.86630888e-03
7.32,1.85145974e-03
7.33,1.83674983e-03
7.34,1.82217763e-03
7.35,1.80774168e-03
7.36,1.79344050e-03
7.37,1.77927266e-03
7.38,1.76523672e-03
7.39,1.75133128e-03
7.40,1.73755495e-03
7.41,1.72390634e-03
7.42,1.71038411e-03
7.43,1.69698690e-03
7.44,1.68371340e-03
7.45,1.67056228e-03
7.46,1.65753226e-03
7.47,1.64462205e-03
7.48,1.63183039e-03
7.49,1.61915604e-03
7.50,1.60659774e-03
7.51,1.59415430e-03
7.52,1.58182449e-03
7.53,1.56960713e-03
7.54,1.55750104e-03
7.55,1.54550506e-03
7.56,1.53361803e-03
7.57,1.52183883e-03
7.58,1.51016633e-03
7.59,1.49859942e-03
7.60,1.48713699e-03
7.61,1.47577798e-03
7.62,1.46452131e-03
7.63,1.45336591e-03
7.64,1.44231075e-03
7.65,1.43135478e-03
7.66,1.42049700e-03
7.67,1.40973638e-03
7.68,1.39907192e-03
7.69,1.38850265e-03
7.70,1.37802759e-03
7.71,1.36764576e-03
7.72,1.35735623e-03
7.73,1.34715804e-03
7.74,1.33705026e-03
7.75,1.32703198e-03
7.76,1.31710229e-03
7.77,1.30726028e-03
7.78,1.29750506e-03
7.79,1.28783577e-03
7.80,1.27825152e-03
7.81,1.26875146e-03
7.82,1.25933473e-03
7.83,1.25000051e-03
7.84,1.24074796e-03
7.85,1.23157625e-03
7.86,1.22248459e-03
7.87,1.21347215e-03
7.88,1.20453816e-03
7.89,1.19568183e-03
7.90,1.18690238e-03
7.91,1.17819905e-03
7.92,1.16957107e-03
7.93,1.16101770e-03
7.94,1.15253820e-03
7.95,1.14413183e-03
7.96,1.13579787e-03
7.97,1.12753560e-03
7.98,1.11934432e-03
7.99,1.11122332e-03
8.00,1.10317192e-03
8.01,1.09518942e-03
8.02,1.08727514e-03
8.03,1.07942843e-03
8.04,1.07164861e-03
8.05,1.06393503e-03
8.06,1.05628705e-03
8.07,1.04870401e-03
8.08,1.04118530e-03
8.09,1.03373027e-03
8.10,1.02633832e-03
8.11,1.01900882e-03
8.12,1.01174118e-03
8.13,1.00453479e-03
8.14,9.97389051e-04
8.15,9.90303388e-04
8.16,9.83277217e-04
8.17,9.76309963e-04
8.18,9.69401060e-04
8.19,9.62549944e-04
8.20,9.55756061e-04
8.21,9.49018861e-04
8.22,9.42337800e-04
8.23,9.35712342e-04
8.24,9.29141954e-04
8.25,9.22626110e-04
8.26,9.16164289e-04
8.27,9.09755978e-04
8.28,9.03400666e-04
8.29,8.97097850e-04
8.30,8.90847031e-04
8.31,8.84647716e-04
8.32,8.78499418e-04
8.33,8.72401654e-04
8.34,8.66353946e-04
8.35,8.60355822e-04
8.36,8.54406815e-04
8.37,8.48506463e-04
8.38,8.42654307e-04
8.39,8.36849896e-04
8.40,8.31092782e-04
8.41,8.25382521e-04
8.42,8.19718675e-04
8.43,8.14100811e-04
8.44,8.08528499e-04
8.45,8.03001315e-04
8.46,7.97518838e-04
8.47,7.92080653e-04
8.48,7.86686348e-04
8.49,7.81335517e-04
8.50,7.76027756e-04
8.51,7.70762667e-04
8.52,7.65539855e-04
8.53,7.60358930e-04
8.54,7.55219506e-04
8.55,7.50121200e-04
8.56,7.45063635e-04
8.57,7.40046435e-04
8.58,7.35069231e-04
8.59,7.30131656e-04
8.60,7.25233347e-04
8.61,7.20373944e-04
8.62,7.15553094e-04
8.63,7.10770443e-04
8.64,7.06025644e-04
8.65,7.01318352e-04
8.66,6.96648227e-04
8.67,6.92014930e-04
8.68,6.87418129e-04
8.69,6.82857491e-04
8.70,6.78332691e-04
8.71,6.73843404e-04
8.72,6.69389310e-04
8.73,6.64970092e-04
8.74,6.60585435e-04
8.75,6.56235028e-04
8.76,6.51918565e-04
8.77,6.47635740e-04
8.78,6.43386252e-04
8.79,6.39169803e-04
8.80,6.34986097e-04
8.81,6.30834842e-04
8.82,6.26715748e-04
8.83,6.22628529e-04
8.84,6.18572902e-04
8.85,6.14548585e-04
8.86,6.10555301e-04
8.87,6.06592774e-04
8.88,6.02660733e-04
8.89,5.98758907e-04
8.90,5.94887031e-04
8.91,5.91044839e-04
8.92,5.87232070e-04
8.93,5.83448465e-04
8.94,5.79693768e-04
8.95,5.75967725e-04
8.96,5.72270086e-04
8.97,5.68600601e-04
8.98,5.64959025e-04
8.99,5.61345113e-04
9.00,5.57758625e-04
9.01,5.54199322e-04
9.02,5.50666969e-04
9.03,5.47161330e-04
9.04,5.43682175e-04
9.05,5.40229276e-04
9.06,5.36802404e-04
9.07,5.33401338e-04
9.08,5.30025854e-04
9.09,5.26675733e-04
9.10,5.23350760e-04
9.11,5.20050719e-04
9.12,5.16775400e-04
9.13,5.13524592e-04
9.14,5.10298091e-04
9.15,5.07095693e-04
9.16,5.03917198e-04
9.17,5.00762408e-04
9.18,4.97631132e-04
9.19,4.94523179e-04
9.20,4.91438366e-04
9.21,4.88376515e-04
9.22,4.85337454e-04
9.23,4.82321020e-04
9.24,4.79327061e-04
9.25,4.76355442e-04
9.26,4.73406046e-04
9.27,4.70478788e-04
9.28,4.67573624e-04
9.29,4.64690582e-04
9.30,4.61829795e-04
9.31,4.58991583e-04
9.32,4.56176591e-04
9.33,4.53386094e-04
9.34,4.50622668e-04
9.35,4.47891913e-04
9.36,4.45207545e-04
9.37,4.42610354e-04
9.38,4.40269647e-04
9.39,4.39639869e-04
9.40,1.47083727e-03
9.41,4.33865389e-04
9.42,4.29609725e-04
9.43,4.26692183e-04
9.44,4.24001343e-04
9.45,4.21394504e-04
9.46,4.18838897e-04
9.47,4.16330092e-04
9.48,4.13884106e-04
9.49,4.11568546e-04
9.50,4.09735468e-04
9.51,4.13909689e-04
9.52,4.18782728e-04
9.53,4.02657510e-04
9.54,3.99395195e-04
9.55,3.96780081e-04
9.56,3.94315741e-04
9.57,3.91913439e-04
9.58,3.89547337e-04
9.59,3.87207613e-04
9.60,3.84889818e-04
9.61,3.82591655e-04
9.62,3.80311808e-04
9.63,3.78049455e-04
9.64,3.75804037e-04
9.65,3.73575148e-04
9.66,3.71362476e-04
9.67,3.69165764e-04
9.68,3.66984796e-04
